,a=f(a),b=f(f(b)),"d=gcd(a-b, n)"
0,2,2,1
1,42073,15968536,1
2,15968536,8600053,1
3,4545706,68126474,1
4,8600053,38613425,1
5,68193552,23723550,1
6,68126474,50707282,1
7,12452939,84050704,1
8,38613425,10920122,1
9,395526,84303179,1
10,23723550,35814337,1
11,40279703,60750916,1
12,50707282,81246966,1
13,16631110,20580826,1
14,84050704,41782030,1
15,87744023,42969784,1
16,10920122,62388395,1
17,51629850,79250711,1
18,84303179,37528562,1
19,22975075,95938613,1
20,35814337,77276902,1
21,31973272,58540375,1
22,60750916,35492937,1
23,87584497,41649826,1
24,81246966,2998879,1
25,31335678,23091960,1
26,20580826,94340231,1
27,8532051,21949947,1
28,41782030,97246326,1
29,7426429,24637695,1
30,42969784,92863072,1
31,92670223,65633652,1
32,62388395,82142489,1
33,63520399,20990119,1
34,79250711,85383225,1
35,75604309,84032044,9857
